"451","409","XF313597","","39.3400","39.3400","400.0000","10000","1","1"
"456","414","KO322305","","300.0000","147.5400","1000.0000","10000","1","1"
"458","416","DJ322292","","228.0000","112.1300","800.0000","10000","1","1"
"464","422","OE312429","","69.0000","45.2500","300.0000","10000","1","1"
"470","428","XV322271","","290.0000","142.6200","1000.0000","10000","1","1"
"472","430","XT313616","","62.9500","62.9500","400.0000","10000","1","1"
"478","436","GG312356","","48.0000","31.4800","300.0000","10000","1","1"
"484","442","NQ322212","","145.0000","71.3100","400.0000","10000","1","1"
"485","443","EW313632","","55.7400","55.7400","400.0000","10000","1","1"
"493","451","UM322190","","95.0000","62.3000","400.0000","10000","1","1"
"500","458","YV313646","","31.9700","31.9700","360.0000","10000","1","1"
"507","465","AZ313657","","45.9000","45.9000","400.0000","10000","1","1"
"512","470","XP313836","","39.3400","39.3400","400.0000","1000","1","1"
"513","471","ZA312118","","43.0000","35.2500","300.0000","10000","1","1"
"514","472","WY313678","","39.3400","39.3400","400.0000","1000","1","1"
"519","477","NZ322179","","190.0000","93.4400","1000.0000","10000","1","1"
"520","478","KS312272","","86.0000","56.3900","300.0000","10000","1","1"
"521","479","QR322165","","210.0000","103.2800","1000.0000","10000","1","1"
"528","486","MA312126","","32.0000","26.2300","300.0000","10000","1","1"
"535","493","VO313697","","39.3400","39.3400","400.0000","10000","1","1"
"540","498","HY312080","","29.0000","23.7700","250.0000","10000","1","1"
"547","505","RF313707","","45.9000","45.9000","300.0000","1000","1","1"
"548","506","XK312043","","188.0000","92.4600","350.0000","10000","1","1"
"554","512","OI322123","","75.0000","49.1800","700.0000","10000","1","1"
"556","514","WT313710","","39.3400","39.3400","400.0000","100000","1","1"
"563","521","XU312024","","46.0000","30.1600","250.0000","10000","1","1"
"570","528","ZO322111","","140.0000","68.8500","600.0000","10000","1","1"
"575","533","GO322107","","140.0000","68.8500","600.0000","10000","1","1"
"576","534","ON312002","","31.0000","25.4100","250.0000","10000","1","1"
"582","540","JN313721","","38.0300","38.0300","400.0000","1000","1","1"
"584","542","WJ322099","","200.0000","98.3600","500.0000","10000","1","1"
"589","547","OM311006","","43.0000","35.2500","300.0000","10000","1","1"
"596","554","FK313746","","38.0300","38.0300","400.0000","10000","1","1"
"598","556","GH322072","","200.0000","98.3600","500.0000","10000","1","1"
"603","561","TR313760","","55.7400","55.7400","400.0000","1000","1","1"
"604","562","CJ310972","","59.0000","33.8500","300.0000","10000","1","1"
"605","563","FV313785","","55.7400","55.7400","400.0000","10000","1","1"
"612","570","KQ310886","","53.0000","30.4100","300.0000","10000","1","1"
"619","577","IX313801","","49.1800","49.1800","400.0000","10000","1","1"
"624","582","QJ310855","","19.0000","19.9000","200.0000","10000","1","1"
"626","584","ZO313823","","39.3400","39.3400","400.0000","10000","1","1"
"633","591","EF322066","","150.0000","73.7700","800.0000","10000","1","1"
"639","597","JC310836","","59.0000","33.8500","300.0000","10000","1","1"
"646","604","QN322045","","155.0000","76.2300","400.0000","10000","1","1"
"647","605","PB300762","","38.0000","24.9200","400.0000","10000","1","1"
"652","610","YX322032","","95.0000","46.7200","600.0000","10000","1","1"
"653","611","DE322026","","95.0000","46.7200","600.0000","10000","1","1"
"660","618","CG285277","","28.2000","28.2000","260.0000","10000","1","1"
"661","619","BM322011","","160.0000","78.6900","600.0000","10000","1","1"
"667","625","UZ291923","","52.0000","34.1000","300.0000","10000","1","1"
"674","632","KG289759","","20.3300","20.3300","130.0000","1000","1","1"
"675","633","WM291892","","52.0000","34.1000","300.0000","10000","1","1"
"682","640","QT321999","","200.0000","98.3600","300.0000","10000","1","1"
"687","645","KY338523","","24.4300","24.4300","220.0000","10000","1","1"
"688","646","MV286095","","79.0000","38.8500","300.0000","10000","1","1"
"689","647","QG321980","","200.0000","98.3600","300.0000","10000","1","1"
"696","654","KK321976","","70.0000","45.9000","300.0000","10000","1","1"
"702","660","FU338475","","22.9500","22.9500","100.0000","10000","1","1"
"709","667","PI334861","","40.0000","26.2300","300.0000","10000","1","1"
"716","674","SD294156","","23.7700","23.7700","200.0000","1000","1","1"
"723","681","KF321960","","280.0000","137.7000","500.0000","10000","1","1"
"729","687","PW338597","","23.7700","23.7700","120.0000","10000","1","1"
"730","688","ME334842","","40.0000","26.2300","300.0000","10000","1","1"
"737","695","UL321933","","105.0000","51.6400","500.0000","10000","1","1"
"744","702","WP334836","","36.0000","30.3300","300.0000","10000","1","1"
"745","703","LU321927","","95.0000","62.3000","500.0000","10000","1","1"
"750","708","NT299326","","22.9500","22.9500","130.0000","10000","1","1"
"757","715","MU334827","","40.0000","26.2300","300.0000","10000","1","1"
"758","716","NP321914","","80.0000","52.4600","300.0000","10000","1","1"
"764","722","CY300448","","20.6600","20.6600","100.0000","10000","1","1"
"766","724","NN334816","","40.0000","26.2300","300.0000","10000","1","1"
"773","731","MF321893","","75.0000","49.1800","400.0000","10000","1","1"
"780","738","CW334802","","44.0000","28.8500","300.0000","10000","1","1"
"786","744","CF303041","","28.8500","28.8500","200.0000","10000","1","1"
"793","751","SW321808","","65.0000","42.6200","500.0000","10000","1","1"
"799","757","VF334797","","47.0000","30.8200","300.0000","10000","1","1"
"800","758","ZY321783","","70.0000","49.1800","500.0000","10000","1","1"
"801","759","PL334788","","45.0000","29.5100","300.0000","10000","1","1"
"807","765","PM302713","","30.8200","30.8200","130.0000","10000","1","1"
"814","772","BY321765","","110.0000","54.1000","500.0000","10000","1","1"
"815","773","OE334767","","47.0000","30.8200","300.0000","10000","1","1"
"821","779","NC321756","","85.0000","55.7400","500.0000","10000","1","1"
"827","785","PT301869","","21.4400","21.4400","190.0000","10000","1","1"
"828","786","UP334749","","47.0000","30.8200","300.0000","10000","1","1"
